id,term,tf,total,
60,刘备,175,8935,1.958589815
60,曹操,134,8935,1.499720201
156,将军,102,4941,2.064359441
414,曹操,75,2043,3.671071953
343,曹操,70,1416,4.943502825
71,曹操,69,3258,2.11786372
60,凌云,66,8935,0.738668159
60,吕布,66,8935,0.738668159
60,雕龙,66,8935,0.738668159
69,其属,65,3038,2.139565504
42,庞统,62,1233,5.02838605
438,诸葛亮,62,5467,1.13407719
70,部将,61,1449,4.209799862
86,孔明,54,1616,3.341584158
542,曹操,53,2168,2.444649446
438,周瑜,52,5467,0.951161515
156,掌管,51,4941,1.032179721
60,才子,49,8935,0.548405148
60,就是,48,8935,0.537213206
128,中国,47,1812,2.593818985
60,没有,47,8935,0.526021265
460,诸葛亮,46,1589,2.894902454
542,刘备,45,2168,2.075645756
115,魏延,44,712,6.179775281
156,东汉,44,4941,0.890507994
498,刘备,43,2532,1.698262243
507,曹操,42,883,4.756511891
437,曹操,41,2469,1.660591333
438,三国志,41,5467,0.749954271
437,刘备,40,2469,1.620089105
156,大将军,39,4941,0.789313904
156,校尉,39,4941,0.789313904
42,刘备,39,1233,3.163017032
450,孔明,38,3065,1.239804241
60,自己,38,8935,0.425293788
148,蒋干,37,868,4.262672811
107,庞统,36,1197,3.007518797
128,世界,36,1812,1.986754967
332,曹操,36,998,3.607214429
60,周瑜,36,8935,0.402909905
69,从事,36,3038,1.184990125
152,吕布,35,1040,3.365384615
332,杨修,35,998,3.507014028
460,张飞,35,1589,2.202643172
234,曹操,34,407,8.353808354
489,英雄,34,4237,0.802454567
60,一个,34,8935,0.380526021
60,所以,34,8935,0.380526021
156,尚书,33,4941,0.667880996
437,自己,33,2469,1.336573512
60,关羽,33,8935,0.369334079
60,这么,33,8935,0.369334079
86,刘备,33,1616,2.042079208
121,张飞,32,1553,2.06052801
144,鲁肃,32,867,3.69088812
434,姜维,32,1417,2.258292167
498,诸葛亮,32,2532,1.263823065
112,曹操,31,894,3.467561521
156,中郎将,31,4941,0.62740336
156,从事,31,4941,0.62740336
329,曹操,31,1118,2.772808587
410,孔明,31,829,3.739445115
460,曹操,31,1589,1.950912524
69,左右,31,3038,1.020408163
107,刘备,30,1197,2.506265664
15,吕布,30,845,3.550295858
156,丞相,30,4941,0.607164542
489,就是,30,4237,0.708048147
234,董卓,29,407,7.125307125
298,曹操,28,788,3.553299492
438,孙权,28,5467,0.512163892
58,孔明,28,1039,2.694898941
60,孔明,28,8935,0.31337437
60,孙权,28,8935,0.31337437
121,翼德,27,1553,1.738570509
156,二千石,27,4941,0.546448087
372,垃圾,27,970,2.783505155
42,凤雏,27,1233,2.189781022
499,刘备,27,948,2.848101266
60,射雕,27,8935,0.302182429
81,曹操,27,2222,1.215121512
86,周瑜,27,1616,1.670792079
156,之一,26,4941,0.526209269
235,关羽,26,763,3.407601573
397,刘备,26,1341,1.938851603
430,王允,26,1619,1.605929586
437,一个,26,2469,1.053057918
71,孙权,26,3258,0.798035605
128,历史,25,1812,1.379690949
20,刘备,25,780,3.205128205
288,刘禅,25,789,3.168567807
438,曹操,25,5467,0.45728919
482,刘备,25,1319,1.895375284
60,不是,25,8935,0.279798545
60,神弓,25,8935,0.279798545
70,曹操,25,1449,1.725327812
147,张松,24,760,3.157894737
156,吴置,24,4941,0.485731633
284,刘备,24,3229,0.743264168
298,陈宫,24,788,3.045685279
343,刘备,24,1416,1.694915254
397,关羽,24,1341,1.789709172
437,卧龙,24,2469,0.972053463
438,虚构,24,5467,0.438997622
453,证明,24,90,26.66666667
71,刘备,24,3258,0.73664825
156,魏时,23,4941,0.465492815
165,知道,23,1882,1.222104145
438,刘备,23,5467,0.420706055
45,伊斯兰教,23,1377,1.670297749
451,武力,23,1478,1.556156969
451,关羽,23,1478,1.556156969
451,武将,23,1478,1.556156969
60,可以,23,8935,0.257414661
81,毛本,23,2222,1.03510351
113,诸葛,22,760,2.894736842
143,诸葛瑾,22,656,3.353658537
165,诸葛亮,22,1882,1.168969182
430,貂蝉,22,1619,1.358863496
460,关公,22,1589,1.384518565
482,曹操,22,1319,1.66793025
498,关羽,22,2532,0.868878357
507,陈宫,22,883,2.491506229
60,这样,22,8935,0.24622272
115,诸葛,21,712,2.949438202
150,马超,21,773,2.716688228
156,都尉,21,4941,0.425015179
156,第五品,21,4941,0.425015179
21,刘备,21,452,4.646017699
280,周瑜,21,396,5.303030303
437,主公,21,2469,0.85054678
437,这个,21,2469,0.85054678
437,没有,21,2469,0.85054678
447,邓艾,21,650,3.230769231
448,孙权,21,2195,0.956719818
448,曹操,21,2195,0.956719818
508,曹操,21,582,3.608247423
512,诸葛亮,21,639,3.286384977
60,诸葛亮,21,8935,0.235030778
60,庞统,21,8935,0.235030778
69,将军,21,3038,0.69124424
144,诸葛,20,867,2.306805075
150,杨阜,20,773,2.587322122
153,曹操,20,992,2.016129032
156,汉武帝,20,4941,0.404776361
156,曹操,20,4941,0.404776361
240,人物,20,976,2.049180328
271,人物,20,1016,1.968503937
323,的人,20,792,2.525252525
444,刘备,20,692,2.89017341
450,23,20,3065,0.652528548
482,荆州,20,1319,1.516300227
60,先生,20,8935,0.223838836
60,那么,20,8935,0.223838836
69,官制,20,3038,0.658327847
69,尚书,20,3038,0.658327847
71,姜维,20,3258,0.613873542
81,刘备,20,2222,0.900090009
121,吕布,19,1553,1.223438506
128,可以,19,1812,1.048565121
144,荆州,19,867,2.191464821
148,周瑜,19,868,2.188940092
151,孟达,19,584,3.253424658
156,领军,19,4941,0.384537543
165,孔明,19,1882,1.009564293
433,徐庶,19,610,3.114754098
434,陈寿,19,1417,1.340860974
460,刘备,19,1589,1.195720579
489,关羽,19,4237,0.448430493
499,关羽,19,948,2.004219409
60,不能,19,8935,0.212646894
60,呵呵,19,8935,0.212646894
60,什么,19,8935,0.212646894
60,其实,19,8935,0.212646894
60,天下,19,8935,0.212646894
69,中郎将,19,3038,0.625411455
69,都尉,19,3038,0.625411455
128,美国,18,1812,0.993377483
140,祢衡,18,482,3.734439834
150,曹操,18,773,2.328589909
156,司马,18,4941,0.364298725
156,刺史,18,4941,0.364298725
235,张飞,18,763,2.359108781
24,刘备,18,847,2.12514758
240,作者,18,976,1.844262295
271,作者,18,1016,1.771653543
284,曹操,18,3229,0.557448126
284,怎么,18,3229,0.557448126
33,左慈,18,524,3.435114504
337,曹操,18,884,2.036199095
343,其实,18,1416,1.271186441
343,自己,18,1416,1.271186441
343,关羽,18,1416,1.271186441
420,如果,18,514,3.501945525
438,一个,18,5467,0.329248217
448,司马师,18,2195,0.820045558
489,小说,18,4237,0.424828888
500,传统,18,946,1.902748414
542,十分,18,2168,0.830258303
60,陈宫,18,8935,0.201454952
156,属官,17,4941,0.344059907
172,小说,17,1723,0.98665119
23,刘备,17,428,3.971962617
284,这样,17,3229,0.526478786
284,一个,17,3229,0.526478786
289,关羽,17,362,4.696132597
35,帅哥,17,539,3.153988868
397,曹操,17,1341,1.267710664
4,诸葛亮,17,293,5.802047782
405,吕蒙,17,346,4.913294798
414,自己,17,2043,0.832109643
430,吕布,17,1619,1.050030883
45,历史,17,1377,1.234567901
489,曹操,17,4237,0.401227283
489,罗贯中,17,4237,0.401227283
507,吕布,17,883,1.925254813
524,曹操,17,569,2.987697715
542,因为,17,2168,0.784132841
542,时候,17,2168,0.784132841
542,没有,17,2168,0.784132841
60,怎么,17,8935,0.190263011
60,知道,17,8935,0.190263011
60,后来,17,8935,0.190263011
69,丞相,17,3038,0.55957867
71,诸葛亮,17,3258,0.521792511
150,忠义,16,773,2.069857697
154,徐州,16,944,1.694915254
156,少府,16,4941,0.323821089
156,秩比,16,4941,0.323821089
159,小说,16,955,1.67539267
172,张飞,16,1723,0.928612885
174,刘备,16,1128,1.418439716
175,孔明,16,833,1.920768307
240,诸葛亮,16,976,1.639344262
26,我们,16,1182,1.353637902
271,诸葛亮,16,1016,1.57480315
284,孔明,16,3229,0.495509446
323,喜欢,16,792,2.02020202
337,就是,16,884,1.809954751
345,自己,16,610,2.62295082
354,没有,16,1049,1.525262154
372,张飞,16,970,1.649484536
418,诸葛亮,16,369,4.33604336
42,诸葛亮,16,1233,1.297648013
437,我们,16,2469,0.648035642
437,但是,16,2469,0.648035642
438,故事,16,5467,0.292665081
438,而且,16,5467,0.292665081
440,刘备,16,874,1.830663616
440,关羽,16,874,1.830663616
450,玄德,16,3065,0.522022838
454,锡山,16,80,20
454,证明,16,80,20
489,玄德,16,4237,0.377625679
489,中国,16,4237,0.377625679
542,袁绍,16,2168,0.73800738
60,而且,16,8935,0.179071069
60,当时,16,8935,0.179071069
60,觉得,16,8935,0.179071069
60,这个,16,8935,0.179071069
60,如果,16,8935,0.179071069
60,为什么,16,8935,0.179071069
