id2,id,label,term,tf,df,idf,tfidf
1,1,3,成分,2,0.010752688,3.839452313,7.678904625
2,1,3,搜集,2,0.021505376,3.433987204,6.867974409
3,1,3,丰富,2,0.032258065,3.146305132,6.292610264
4,1,3,许多,2,0.086021505,2.335374916,4.670749832
5,1,3,史料,2,0.107526882,2.13470422,4.269408441
6,1,3,不少,2,0.11827957,2.047692843,4.095385687
7,1,3,加注,1,0.010752688,3.839452313,3.839452313
8,1,3,去伪存真,1,0.010752688,3.839452313,3.839452313
9,1,3,无中生有,1,0.010752688,3.839452313,3.839452313
10,1,3,演绎,1,0.010752688,3.839452313,3.839452313
11,1,3,治学严谨,1,0.010752688,3.839452313,3.839452313
12,1,3,裴松之,2,0.161290323,1.760010771,3.520021542
13,1,3,单独,1,0.021505376,3.433987204,3.433987204
14,1,3,收录,1,0.021505376,3.433987204,3.433987204
15,1,3,添加,1,0.021505376,3.433987204,3.433987204
16,1,3,太多,1,0.043010753,2.923161581,2.923161581
17,1,3,本来,1,0.053763441,2.740840024,2.740840024
18,1,3,怀疑,1,0.075268817,2.453157951,2.453157951
19,1,3,陈寿,2,0.290322581,1.200394983,2.400789966
20,1,3,又,3,0.440860215,0.794929875,2.384789625
21,1,3,看看,1,0.086021505,2.335374916,2.335374916
22,1,3,里面,1,0.086021505,2.335374916,2.335374916
23,1,3,载,1,0.086021505,2.335374916,2.335374916
24,1,3,内容,1,0.096774194,2.2300144,2.2300144
25,1,3,值得,1,0.096774194,2.2300144,2.2300144
26,1,3,加,1,0.107526882,2.13470422,2.13470422
27,1,3,毕竟,1,0.11827957,2.047692843,2.047692843
28,1,3,基础,1,0.11827957,2.047692843,2.047692843
29,1,3,了解,1,0.139784946,1.893542164,1.893542164
30,1,3,由,1,0.139784946,1.893542164,1.893542164
31,1,3,注,1,0.161290323,1.760010771,1.760010771
32,1,3,三国志,5,0.698924731,0.342944751,1.714723756
33,1,3,到,2,0.419354839,0.843720039,1.687440078
34,1,3,写,1,0.215053763,1.488077055,1.488077055
35,1,3,其实,1,0.225806452,1.44155704,1.44155704
36,1,3,三国演义,1,0.225806452,1.44155704,1.44155704
37,1,3,了,5,0.752688172,0.269919616,1.349598081
38,1,3,过,1,0.258064516,1.313723668,1.313723668
39,1,3,后来,1,0.258064516,1.313723668,1.313723668
40,1,3,就是,1,0.279569892,1.236762627,1.236762627
41,1,3,给,1,0.290322581,1.200394983,1.200394983
42,1,3,还是,1,0.290322581,1.200394983,1.200394983
43,1,3,比,1,0.333333333,1.06686359,1.06686359
44,1,3,里,1,0.333333333,1.06686359,1.06686359
45,1,3,要,1,0.35483871,1.006238969,1.006238969
46,1,3,推荐,1,0.376344086,0.949080555,0.949080555
47,1,3,的,6,0.860215054,0.138150338,0.828902031
48,1,3,得,1,0.440860215,0.794929875,0.794929875
49,1,3,三国,1,0.505376344,0.661398482,0.661398482
50,1,3,上,1,0.505376344,0.661398482,0.661398482
51,1,3,没有,1,0.52688172,0.620576488,0.620576488
52,1,3,都,1,0.548387097,0.581355775,0.581355775
53,1,3,而,1,0.666666667,0.389464767,0.389464767
54,1,3,在,1,0.709677419,0.327906874,0.327906874
55,2,2,荀彧,11,0.129032258,1.967650136,21.64415149
56,2,2,曹操,22,0.505376344,0.661398482,14.55076661
57,2,2,本强基,3,0.010752688,3.839452313,11.51835694
58,2,2,奉天,3,0.010752688,3.839452313,11.51835694
59,2,2,谋士,5,0.11827957,2.047692843,10.23846422
60,2,2,迎,3,0.032258065,3.146305132,9.438915396
61,2,2,固,3,0.053763441,2.740840024,8.222520072
62,2,2,计划,3,0.053763441,2.740840024,8.222520072
63,2,2,资本,3,0.053763441,2.740840024,8.222520072
64,2,2,评析,2,0.010752688,3.839452313,7.678904625
65,2,2,营中,2,0.010752688,3.839452313,7.678904625
66,2,2,大本营,2,0.021505376,3.433987204,6.867974409
67,2,2,群雄逐鹿,2,0.021505376,3.433987204,6.867974409
68,2,2,主意,2,0.021505376,3.433987204,6.867974409
69,2,2,奋斗,2,0.032258065,3.146305132,6.292610264
70,2,2,第一,3,0.139784946,1.893542164,5.680626491
71,2,2,帮,2,0.053763441,2.740840024,5.481680048
72,2,2,的,39,0.860215054,0.138150338,5.387863201
73,2,2,三个,2,0.064516129,2.586689344,5.173378688
74,2,2,说,6,0.419354839,0.843720039,5.062320234
75,2,2,曾经,2,0.075268817,2.453157951,4.906315903
76,2,2,没有,7,0.52688172,0.620576488,4.344035414
77,2,2,正是,2,0.11827957,2.047692843,4.095385687
78,2,2,中国,2,0.11827957,2.047692843,4.095385687
79,2,2,可见,2,0.129032258,1.967650136,3.935300271
80,2,2,比做,1,0.010752688,3.839452313,3.839452313
81,2,2,波澜壮阔,1,0.010752688,3.839452313,3.839452313
82,2,2,步骤,1,0.010752688,3.839452313,3.839452313
